Store Number,,Customer Facing Store Name,Address ,City,State Province,Postal Code,Phone Number,Thursday Store Hours,Thursday Store Hours ,Friday Store Hours,Friday Store Hours 
74,2784,THE SHOPS AT LACANTERA,15900 LaCantera Parkway,San Antonio,TX,78256-2467,(210)558-7167,CLOSED,CLOSED,12am-9pm,12am-10pm
75,2785,PLAZA AT KING OF PRUSSIA,160 N Gulph Road,King of Prussia,PA,19406-2937,(610)337-2307,CLOSED,CLOSED,12am-10pm,12am-10pm
76,2786,MALL AT ROBINSON,2260 Robinson Center Dr,Pittsburgh,PA,15205-4847,(412)787-3486,CLOSED,CLOSED,12am-10pm,12am-9pm
77,2787,FOX RUN MALL,50 Fox Run Road,Newington,NH,03801-2851,(603)431-2347,CLOSED,CLOSED,12am-10pm,12am-10pm
78,2789,MONTGOMERY MALL,110 Montgomery Mall,North Wales,PA,19454-3903,(215)361-8217,CLOSED,CLOSED,12am-9pm,12am-10pm
79,2790,BANGOR MALL,663 Stillwater Ave.,Bangor,ME,04401-3642,(207)941-0847,CLOSED,CLOSED,4am-10pm,12am-9pm
80,2791,SANGERTOWN SQUARE,Rts 5 & 5A,New Hartford,NY,13413-1518,(315)724-7520,CLOSED,CLOSED,12am-10pm,12am-10pm
81,2792,GALLERIA AT CRYSTAL RUN,1 North Galleria Drive,Middletown,NY,10941-3032,(845)692-6476,#N/A,CLOSED,#N/A,12am-10pm
82,2793,BELDEN VILLAGE,4197 Belden Village Mall,Canton,OH,44718-2506,(330)494-0020,#N/A,CLOSED,#N/A,12am-10pm
83,2794,MALL ST. MATTHEWS,5000 Shelbyville Road,Louisville,KY,40207-3342,502-895-7619,CLOSED,CLOSED,12am-10pm,12am-9pm
84,2795,PASEO NUEVO,301 Paseo Nuevo,Santa Barbara,CA,93101-3373,(805)884-4769,#N/A,CLOSED,#N/A,5am-9pm
85,2796,DIMOND CENTER,800 E. Dimond Blvd.,Anchorage,AK,99515-2052,(907)349-3425,#N/A,CLOSED,#N/A,12am-9pm
86,2799,WEST TOWN MALL,7600 Kingstown Pike,Knoxville,TN,37919-5600,(865)693-8670,CLOSED,CLOSED,12am-9pm,12am-10pm
87,2800,FAIR OAKS MALL,11741L Fair Oaks Mall,Fairfax,VA,22033-3307,(703)591-1780,9am-9pm,CLOSED,5am-12am,12am-10pm
88,2801,LOS CERRITOS CENTER,160 Los Cerritos Center,Cerritos,CA,90703-5421,(562)924-7541,CLOSED,CLOSED,9am-11pm,12am-10pm
89,2802,GROVE CITY - PRIME OUTLETS,Intrsctn I79 & Rt 208,Grove City,PA,16127-5001,(724)748-3877,CLOSED,CLOSED,12am-9pm,12am-10pm
90,2803,HANES MALL,3320 Silas Creek Parkway,Winston-Salem,NC,27103-3009,(336)768-6784,10pm-12am,CLOSED,12am-10pm,12am-10pm
91,2804,WOLFCHASE GALLERIA,2760 N. Germantown Pky,Memphis,TN,38133-8155,(901)377-7897,CLOSED,CLOSED,12am-9pm,12am-10pm
92,2805,OPRY MILLS,460 Opry Mills Drive,Nashville,TN,37214-2440,615-678-0810,CLOSED,CLOSED,12am-9pm,12am-10pm
93,2806,CONCORD MILLS,8111 Concord Mills Blvd,Concord,NC,28027-4402,(704)979-1045,CLOSED,CLOSED,7am-10pm,12am-10pm
94,2807,SOUTHLAKE MALL,2264 Southlake Mall,Merrillville,IN,46410-6441,(219)769-6302,CLOSED,CLOSED,3am-10pm,12am-10pm
95,2808,THE OAKS,180 West Hillcrest Dr.,Thousand Oaks,CA,91360-4209,805-371-4058,CLOSED,CLOSED,12am-9pm,12am-9pm
96,2810,CHESTERFIELD MALL,63 Chesterfield Mall,Chesterfield,MO,63017-4807,(636)730-3123,CLOSED,CLOSED,12am-10pm,12a-10p
97,2811,INDEPENDENCE CENTER,1152 Independence Ctr Dr,Independence,MO,64057-1733,(816)795-8056,CLOSED,CLOSED,10am-10pm,12am-9pm 
98,2812,ROSEDALE CENTER,2002 Rosedale Center,Roseville,MN,55113-2092,(651)636-0470,CLOSED,CLOSED,12am-9pm,12am-9pm
99,2813,ST. CLAIR SQUARE,107 St. Clair Sq,Fairview Heights,IL,62208-2618,(618)622-2139,#N/A,CLOSED,#N/A,12am-10pm
100,2814,WOODLAND HILLS,7021 S Memorial Dr,Tulsa,OK,74133-2049,(918)250-0010,#N/A,CLOSED,#N/A,12am-10pm
101,2815,BURNSVILLE CENTER,1088 Burnsville Center,Burnsville,MN,55306-4408,(952)892-0775,#N/A,CLOSED,#N/A,5am-10pm
102,2816,RIVERTOWN CROSSINGS,3700 Rivertown Parkway,Grandville,MI,49418-3086,(616)531-2504,CLOSED,CLOSED,12am-10pm,12am-10pm
103,2817,WHITE OAKS MALL,2501 Wabash Ave,Springfield,IL,62704-4276,(217)726-6437,CLOSED,CLOSED,12am-9pm,12am-9pm
104,2818,NORTHWOODS MALL,2200 W. War Memorial Driv,Peoria,IL,61613-1099,(309)681-9436,CLOSED,CLOSED,12a-10pm,12am-9pm
105,2819,MENLO PARK MALL,55 Parsonage Road,Edison,NJ,08837-2480,(732)548-1056,11pm-12am,CLOSED,12am-12am,12am-10pm
106,2820,WILLOW GROVE PARK,2500 Moreland Road,Willow Grove,PA,19090-4012,(215)657-4283,CLOSED,CLOSED,12am-10pm,12am-12am
107,2821,LOGAN VALLEY MALL,5580 Goods Lane,Altoona,PA,16602-2830,(814)942-5239,CLOSED,CLOSED,12am-10pm,12am-10pm
108,2822,CONNECTICUT POST,1201 Boston Post Road,Milford,CT,06460-2703,(203)301-0643,CLOSED,CLOSED,12am-9pm,12am-10pm
109,2823,WYOMING VALLEY MALL,21 Wyoming Valley Mall,Wilkes Barre,PA,18702-6809,(570)822-3327,CLOSED,CLOSED,12am-9pm,12am-9pm
110,2824,VIEWMONT MALL,100 Viewmont Mall,Scranton,PA,18508-1306,(570)344-2206,CLOSED,CLOSED,12am-10pm,12am-9pm
111,2825,MERIDEN SQUARE,470 Lewis Avenue,Meriden,CT,06451-2103,(203)235-0468,CLOSED,CLOSED,12am-11pm,12am-10pm
112,2826,NITTANY MALL,2901 East College Ave,State College,PA,16801-7517,(814)231-5291,CLOSED,CLOSED,12am-10pm,12am-10pm
113,2827,PALISADES CENTER,2552 Palisades Center Dr,West Nyack,NY,10994-6407,(845)358-3827,CLOSED,CLOSED,12am-10pm,12am-9:30pm
114,2830,THE PARKS AT ARLINGTON,3811 S. Cooper,Arlington,TX,76015-4160,(817)472-5684,CLOSED,11pm-12am,12am-10pm,12am-10pm
115,2831,LAKESIDE MALL,14600 Lakeside Circle,Sterling Heights,MI,48313-6004,(586)566-1673,CLOSED,CLOSED,12am-9pm,12am-10pm
116,2832,APACHE MALL,#660 Apache Mall,Rochester,MN,55902-2109,(507)281-1319,#N/A,CLOSED,#N/A,12am-9pm
117,2833,HULEN MALL,4800 S. Hulen St.,Fort Worth,TX,76132-1419,(817)294-4280,CLOSED,11pm-12am,6am-10pm,12am-10pm
118,2834,MAYFAIR MALL,2500 N. Mayfair Road,Wauwatosa,WI,53226-1428,(414)443-0041,CLOSED,CLOSED,12am-9pm,12am-9pm
119,2835,CORAL RIDGE MALL,1451 Coral Ridge Ave,Coralville,IA,52241-2802,(319)354-0015,CLOSED,CLOSED,12am-10pm,12am-9pm
120,2837,SOUTHPARK CENTER,404 South Park Center,Strongsville,OH,44136-9316,(440)238-3713,CLOSED,CLOSED,12am-9pm,12am-10pm
121,2838,VALLEY HILLS MALL,1960 Highway 70 SE,Hickory,NC,28602-5107,(828)261-0712,CLOSED,CLOSED,12am-9pm,6am-10pm
122,2840,SOLOMON POND MALL,601 Donald Lynch Blvd,Marlborough,MA,01752-4730,(508)460-0302,#N/A,CLOSED,#N/A,12:30am-10pm
123,2842,NORTHSHORE MALL,210 Andover St.,Peabody,MA,01960-1647,(978)531-5176,CLOSED,CLOSED,12am-10pm,12:30am-10pm
124,2843,GRAPEVINE MILLS,3000 Grapevine Mills Pky,Grapevine,TX,76051-2019,(972)355-0932,11pm,CLOSED,12am-10pm,12am-10pm
125,2844,GURNEE MILLS,6170 West Grand Ave,Gurnee,IL,60031-4548,(847)855-1430,CLOSED,CLOSED,12am-9pm,4am-10pm
126,2848,REHOBOTH BEACH - TANGER OUTLETS,36445 Seaside Outlet Dr,Rehoboth Beach,DE,19971-1229,(302)227-1087,CLOSED,10pm-12am,12am-10pm,12am-9pm
127,2851,ONTARIO MILLS,1 Mills Circle,Ontario,CA,91764-5209,(909)483-1350,CLOSED,10pm-12am,6am-9pm,12am-10pm
128,2852,PLAZA LAS AMERICAS,525 Ave FD Roosevelt,San Juan,PR,00918-8002,(787)771-5688,#N/A,CLOSED,#N/A,9am-9pm
129,2853,JERSEY GARDENS,651 Kapkowski Road,Elizabeth,NJ,07201-4912,(908)355-4504,CLOSED,CLOSED,12am-10pm,12am-930pm
130,2854,RIVERHEAD - TANGER OUTLETS,1203 Tanger Mall Drive,Riverhead,NY,11901-6414,(631)369-2126,CLOSED,10pm-12am,12am-10pm,12am-10pm
131,2855,GREAT LAKES CROSSING,4274 Baldwin Rd,Auburn Hills,MI,48326-1267,(248)451-1183,CLOSED,9pm-12am,12am-10pm,12am-10pm
132,2856,NORTHLAKE MALL,6801 Northlake Mall Drive,Charlotte,NC,28216-0759,(704)509-2382,11pm,CLOSED,12am-10pm,12am-9pm
133,2857,SAN MARCOS - TANGER OUTLETS,4015 Interstate Highway 3,San Marcos,TX,78666-5952,512-754-0544,#N/A,10pm-12am,#N/A,12am-10pm
134,2858,TOWSON TOWN CENTER,825 Dulaney Valley Road,Towson,MD,21204-1036,410-832-2814,CLOSED,CLOSED,12am-10pm,6am-10pm
135,2859,FLORENCE MALL,1034 Florence Mall,Florence,KY,41042-1443,859-282-6347,CLOSED,CLOSED,12am-10pm,12am-10pm
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
